2582,Beach ball game set,120 x 120,,"38 x 23,5 x 0,5 cm",Plastic / Polywood / Nylon
2591,Plastic ballpen with blue ink. ,40 x 20,,"ø 1,2 x 14 cm",ABS
2595,Plastic round salad box. ,100 x 70,,"ø 19,4 x 6,1 cm",PP
2599,Badminton set ,100 x 50,,"21 x 2,5 x 68 cm",Nylon / Metal / Plastic / Steel
2602,PVC coin purse. ,30 x 30,,"9,5 x 9,5 x 3 cm",PVC
2613,Drinking mug ,130 x 30,40 x 35,"ø 8,1 x 17,6 cm",PP / Plastic / Paper / PS / PP
2617,Barbecue set,40 x 20,,26 x 50 x 8 cm,Aluminium / Cardboard / Plastic / Aluminium paper / Stainless Steel 18/0
2631,"Barbecue set, 6pc ",80 x 70,,"49 x 43,5 x 2 cm",Stainless Steel 18/0 / Hardwood / Nylon 600D / Nylon 1000D / SS 2CR13
2634,Temperature gauge ,20 x 20,,"3,8 x 2,6 x 35,2 cm",ABS / LCD / Stainless Steel 304
2636,Thermometer,50 x 13,15 x 13,"12,3 x 1,8 x 1 cm",ABS / LCD
2637,Barbecue set ,40 x 18 ,,"37,5 x 10 x 9 cm",Aluminium / Cardboard / Plastic / Aluminium paper / Stainless Steel 18/0
2642,Plastic 5pc cookie cutter set. ,70 dia,,"ø 11,3 x 4,9 cm",PP
2645,Picnic rucksack for four people,100 x 100,,21 x 25 x 38 cm,PU / PEVA / Polyester 600D
2669,Pocket mirror with brush,30 dia,,"6,6 x 3 x 7,4 cm",ABS / Glass
2691,Lipstick ballpen with blue ink,20 x 12,18 x 10,"ø 1,8 x 9,8 cm",ABS
2693,Car ballpen.,20 x 8,10 x 10,"12,2 x 2,9 x 1,8 cm",Plastic / Rubber
2715,Recycled notebook. ,60 x 60 ,80 x 170,"13,7 x 18 x 0,7 cm",Cotton / Paper / paper 70 gsm / Metal
2724,Whistle with wrist cord,15 dia ,,"ø 5,5 x 11 cm",ABS
2731,Aluminium photo frame,100 x 20 ,,"20,6 x 15,5 x 1,5 cm",Aluminium
2736,Notebook with pen,40 x 40,,"8 x 10,5 x 1 cm",ABS / Paper
2749,PVC Pinch wallet.,45 x 25,,"10 x 9,2 x 0,9 cm",Metal / PVC
2758,Key wallet,50 x 25,,"11 x 7,8 x 1 cm",PVC / Nylon 600D
2762,Leather key wallet with metal ring and zipper.,70 x 30,,"10,9 x 7,4 cm",Leather
2785,Pencil set,25 x 25,,"ø 4,5 x 10,2 cm",Wax / Wood / ABS / Metal / Cardboard
2786,Pencil holder with 6 pencils,40 x 15,45 x 60,"ø 3 x 13,5 cm",poplar
2788,"Crayon set in card box, 6pc",35 x 50,,"9,2 x 5 x 0,9 cm",Cardboard / Paper / Wax
2790,"Crayon set in card box, 12pc",50 x 40 ,,"9,1 x 9,8 x 0,9 cm",Cardboard / Paper / Wax
2792,"Crayon set, 30pc ",25 x 25,40 x 100,"ø 5,7 x 10,5 cm",Cardboard / Wax
2794,"Artists set, 68pc",n/a,,32 x 21 x 4 cm,Wood / Paper / Wax / Plastic / Paper
2797,Chalk in six different colours.,50 x 40 ,,"14,5 x 13,5 x 2,5 cm",Calcium Sulphate / Cardboard
2799,Pencil with eraser,50 x 4,,"ø 0,5 x 35 cm",Rubber / PVC
2807,Hip flask,45 x 45 ,,"18 x 16 x 5,3 cm",Stainless Steel 304
2810,Aeroplane key holder.,20 x 15 ,,"4 x 6,8 x 0,7 cm",Zinc / Iron
2822,Bottle opener,22 x 5,,"ø 7,5 x 1,3 cm",Metal / HIPS / Polystyrene
2834,"Mug, 250ml. WHITE & COLS",60 x 60,190 x 60,"ø 8 x 9,5 cm",Porcelain
2848,Ceramic mug. 170ml.,80 x 55,170 x 55,"ø 7,3 x 8 cm",Earthenware
2855,Coffee mug with spoon,40 x 30 ,,"ø 8,4 x 10,5 cm",Earthenware / Ceramic / Earthenware / Ceramic
2880,"Ceramic mug with chalk, (sold per 36 pcs)",45 x 35 ,,"ø 8 x 9,5 cm",Ceramic
2889,Notebook with a soft PU cover,50 x 60,,"9 x 14 x 1,3 cm",Cardboard / Paper / PU
2889,lowest price,50 x 60,,n/a,
2917,20cm Ruler with calculator,40 x 22,,"21,3 x 5,4 x 0,7 cm",ABS / Rubber
2959,30cm Plastic ruler with two pencils.,45 x 15 ,50 x 20,"31,5 x 4 x 2 cm",Wood / Graphite / PS
2980,Drawing mug,n/a,,ø 10 x 9 cm,PP / Paper / PS
3006,Metal ballpen and rollerpen. ,30 x 7 ,,"16,7 x 6,6 x 2,3 cm",PU / Metal / PU
3011,Cardiff ballpen with silver barrel.,45 x 8,,"ø 1,5 x 14 cm",ABS / Steel / AS / ABS / ABS
3015,Newport ballpen with blue ink.,45 x 8,,"ø 1,5 x 14 cm",ABS / Steel / AS / ABS / ABS
3018,Cardiff ballpen with white barrel.,55 x 7,,"ø 1,3 x 14 cm",ABS / Metal
3020,Voltaire ballpen with blue ink.,35 x 7 ,45 x 5,"ø 1,4 x 14,2 cm",Aluminium / Metal
3035,Rimini ballpen with blue ink.,33 x 20,,"ø 1 x 13,3 cm",ABS / AS / Alloy / Metal
3050,A4 PU Folder with magnetic closing. ,70 x 35 ,,26 x 32 x 2 cm,Metal / PU / Velvet
3053,Polyester 240D backpack. ,120 x 30,,29 x 40 x 15 cm,Polyester 240D
3070,550ml Plastic cocktail shaker with integral strainer.,30 x 50,,ø 8 x 22 cm,HIPS
3073,Flexi man alarm clock.,18 x 12,20 x 12,"7,5 x 10 x 4 cm",ABS / PVC / LCD
3076,Notebook with a soft PU cover,80 x 80,70 x 60 deboss/foil front or deboss/foil back,"14 x 21 x 1,5 cm",Cardboard / Paper / PU
3099,Wire bound notebook.,40 x 40 ,,"12,4 x 15 x 1,6 cm",Cardboard / Metal / Paper
3106,"Metz ballpen, blue ink.",35 x 20,35 x 4 ,"ø 0,9 x 13,2 cm",Copper
3115,Bookmark made from card ,40 dia,,"22 x 6 x 0,1 cm",Paper
3117,Pen shaped pocket screwdriver.,35 x 10  ,,"ø 1,5 x 12,9 cm",Metal / Stainless steel
3120,Felt Christmas hat ,200 x 40,,"40 x 30 x 0,5 cm",Felt
3127,Friday afternoon hammer.,45 x 10,15 x 15,"26,3 x 3,7 x 11 cm",PVC / Carbon Steel
3129,Aluminium luggage tag ,45 x 20 ,,"8,5 x 3,8 x 0,2 cm",Aluminium
3132,Luggage tag,40 x 20,,"9 x 5,1 x 0,5 cm",Paper / Polystyrene
3133,Plastic ID pass holder ,20 x 20,,"ø 4,8 x 9,1 cm",ABS / PA / Nylon / Denim
3141,"Tape measure, 2m",30 x 30,,"6,5 x 5,7 x 2 cm",Metal / Rubber
3143,"Tape measure, 3m",30 x 30,,"6,5 x 5,7 x 2 cm",Metal / ABS / Rubber
